No_Hit,Age,Ever_Bankruptcy,Months_Since_Bankruptcy,Ever_Collection,Unpaid_Collection_Trades,Unpaid_Collection_Balance,Counseling_Last_12M,Unpaid_CO_84M,Delinq_90D_12M,Delinq_60D_12M,Delinq_60D_Curr,Delinq_30D_3M,Delinq_30D_Curr,Checking_Asset,Card_Inquiry_12M,Card_Open_24M,Personal_Loan,Unsecured_Debt,Revolving_Util,Income,Auth_User_Only,Student,Student_Loan_Amt,Ever_ChargeOff,ChargeOff_Balance,FICO_V,DTI,FICO_Band,Utilization_Band,DTI_Band,LoanAmount_Band,Asset_Band,FICO_Imputed,Predicted_ChargeOff_Prob,Predicted_ChargeOff_Label
0,24,0,0,0,0,0,1,0,0,1,0,1,1,576,0,1.0,0,272.0,0.1,26712,0,0,0.0,0,,676.0,0.010182689427972447,Good,Low (10-30%),Target (<36%),No Debt,501-1000,676,0.0005212186,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,1374,0,0.0,1,1172.0,0.4191726586353438,27768,0,1,5453.7,0,,,0.042206856813598384,,Moderate (30-60%),Target (<36%),Moderate (5K-10K),1001-1500,999,0.00026979973,0
1,20,0,0,0,0,0,1,0,0,1,0,1,0,2291,1,2.0,0,96.8,0.1471877818390966,27078,0,1,5657.4,0,,,0.0035748578181549594,,Low (10-30%),Target (<36%),Moderate (5K-10K),2001-2500,999,0.0006735477,0
0,25,0,0,0,0,0,1,0,0,0,0,1,0,71,1,2.0,0,808.0,0.2100557584971604,33313,0,0,0.0,0,,560.0,0.024254795425209377,Poor,Low (10-30%),Target (<36%),No Debt,<500,560,0.00045641596,0
0,22,0,0,0,0,0,0,0,0,0,0,1,0,361,0,2.0,0,713.0,0.0034543276566879,34309,0,0,0.0,0,,586.0,0.020781719082456497,Fair,Very Low (<10%),Target (<36%),No Debt,<500,586,0.00020236723,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,2963,3,1.0,0,744.8000000000001,0.0,35778,0,0,0.0,0,,541.0,0.020817262004583826,Poor,Very Low (<10%),Target (<36%),No Debt,>2500,541,0.00012614745,0
1,25,0,0,0,0,0,0,0,0,0,0,0,0,1575,3,0.0,0,503.0,0.5761045701014248,21814,0,0,0.0,0,,,0.02305858622902723,,Moderate (30-60%),Target (<36%),No Debt,1501-2000,999,0.00012874794,0
0,25,0,0,0,0,0,1,0,0,0,0,0,0,911,0,0.0,0,775.0,0.5201367623141759,34959,0,0,0.0,0,,551.0,0.022168826339426184,Poor,Moderate (30-60%),Target (<36%),No Debt,501-1000,551,0.0053610476,0
0,20,0,0,1,0,0,0,1,0,0,0,1,0,1366,3,1.0,0,94.4,0.1377033647181783,47856,0,0,0.0,1,50.0,636.0,0.001972584419926446,Fair,Low (10-30%),Target (<36%),No Debt,1001-1500,636,0.997255,1
0,23,0,0,0,0,0,1,0,0,0,0,0,0,1711,0,1.0,0,374.0,0.1790040675258662,41196,0,1,14373.0,0,,566.0,0.009078551315661714,Poor,Low (10-30%),Target (<36%),High (10K-15K),1501-2000,566,0.0005199998,0
1,22,0,0,1,0,0,0,1,1,0,1,1,0,1360,3,1.0,0,68.0,0.0,22033,1,0,0.0,0,,,0.0030862796714019878,,Very Low (<10%),Target (<36%),No Debt,1001-1500,999,0.01082346,0
1,19,0,0,0,0,0,0,0,0,1,0,1,1,900,0,2.0,0,656.8000000000001,0.0087048513911469,41616,0,0,0.0,0,,,0.01578239138792772,,Very Low (<10%),Target (<36%),No Debt,501-1000,999,0.000108914144,0
1,25,0,0,0,0,0,0,0,0,0,0,0,0,2425,3,1.0,0,628.0,0.2661294687869696,45598,0,0,0.0,0,,,0.013772533883065046,,Low (10-30%),Target (<36%),No Debt,2001-2500,999,9.2085174e-05,0
0,21,0,0,0,0,0,0,1,0,1,0,0,0,190,1,2.0,0,713.6,0.3331054452623582,45117,0,1,12942.3,0,,622.0,0.015816654476139815,Fair,Moderate (30-60%),Target (<36%),High (10K-15K),<500,622,0.00022937545,0
1,23,0,0,0,0,0,0,0,0,0,0,0,0,2395,3,2.0,1,1458.0,0.4358606694911131,29130,0,1,3300.0,0,,,0.050051493305870234,,Moderate (30-60%),Target (<36%),Low (1K-5K),2001-2500,999,6.32783e-05,0
0,23,0,0,0,0,0,0,1,0,0,0,0,1,2954,1,2.0,0,992.0,0.0444172222066887,44160,0,1,19014.0,0,,619.0,0.02246376811594203,Fair,Very Low (<10%),Target (<36%),Very High (>15K),>2500,619,9.198099e-05,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,1627,1,0.0,0,601.6,0.3201929054853822,51893,0,0,0.0,0,,646.0,0.011593085772647563,Fair,Moderate (30-60%),Target (<36%),No Debt,1501-2000,646,0.0001400369,0
0,21,0,0,0,0,0,1,0,0,0,0,0,0,706,3,3.0,1,228.8,0.1144063196190596,34669,0,1,4826.5,0,,526.0,0.006599555799128905,Poor,Low (10-30%),Target (<36%),Low (1K-5K),501-1000,526,0.0005156656,0
1,22,0,0,0,0,0,0,0,0,0,0,1,0,1739,3,1.0,0,418.0,0.315754178743922,23435,1,0,0.0,0,,,0.017836569234051632,,Moderate (30-60%),Target (<36%),No Debt,1501-2000,999,0.00019244006,0
1,18,0,0,0,0,0,0,0,0,1,0,0,0,1861,1,1.0,1,673.6,0.0,26286,0,1,4841.9,0,,,0.025625808415125923,,Very Low (<10%),Target (<36%),Low (1K-5K),1501-2000,999,0.0002607099,0
0,21,0,0,0,0,0,1,0,0,1,0,1,0,592,1,1.0,0,356.8,0.0322549462886006,38733,0,0,0.0,0,,630.0,0.009211783233934888,Fair,Very Low (<10%),Target (<36%),No Debt,501-1000,630,0.00016672144,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,932,2,0.0,0,491.2000000000001,0.1180589086102046,52171,0,1,10087.7,0,,,0.009415192348239445,,Low (10-30%),Target (<36%),High (10K-15K),501-1000,999,0.0027683224,0
0,23,0,0,1,0,0,1,0,1,1,0,0,0,2502,1,1.0,0,649.0,0.071177879309798,43476,0,0,0.0,1,,573.0,0.014927776244364708,Poor,Very Low (<10%),Target (<36%),No Debt,>2500,573,0.36198238,0
0,22,0,0,0,0,0,0,0,0,0,0,0,1,673,3,1.0,0,744.0,0.4321425961288141,48911,1,0,0.0,0,,659.0,0.015211302161068063,Fair,Moderate (30-60%),Target (<36%),No Debt,501-1000,659,4.654714e-05,0
0,21,0,0,1,0,0,1,0,1,0,1,0,0,905,0,2.0,0,751.2,0.6124097045547922,22940,0,1,3819.2,1,,604.0,0.03274629468177855,Fair,High (60-100%),Target (<36%),Low (1K-5K),501-1000,604,0.99278086,1
1,18,0,0,0,0,0,1,0,0,0,0,0,1,1361,3,2.0,0,625.6,0.2913918006115982,40168,0,1,12863.9,0,,,0.015574586735710019,,Low (10-30%),Target (<36%),High (10K-15K),1001-1500,999,0.00038240565,0
1,20,0,0,1,0,0,1,0,1,1,1,1,1,2246,0,1.0,0,722.4000000000001,0.3170492277622,47334,0,0,0.0,0,,,0.015261756876663712,,Moderate (30-60%),Target (<36%),No Debt,2001-2500,999,0.014742142,0
0,20,0,0,1,0,0,0,0,1,0,0,0,0,2518,0,0.0,0,561.6,0.2792805998195558,27496,1,0,0.0,0,,668.0,0.020424789060226944,Fair,Low (10-30%),Target (<36%),No Debt,>2500,668,0.013946048,0
1,19,0,0,0,0,0,1,1,0,0,0,1,0,1878,1,0.0,0,696.0,0.459978746375861,33379,0,1,3704.4,0,,,0.020851433536055605,,Moderate (30-60%),Target (<36%),Low (1K-5K),1501-2000,999,5.3240943e-05,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,713,0,1.0,1,1190.0,0.2659132395325325,34044,0,0,0.0,0,,677.0,0.034954764422512045,Good,Low (10-30%),Target (<36%),No Debt,501-1000,677,0.0016322411,0
1,21,0,0,0,0,0,1,1,0,0,0,1,0,1783,2,1.0,0,696.0,0.5892255350682296,48268,1,0,0.0,0,,,0.014419491174276954,,Moderate (30-60%),Target (<36%),No Debt,1501-2000,999,3.8688653e-05,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,753,0,1.0,0,509.6,0.2450473170908854,47312,1,0,0.0,0,,617.0,0.01077105174163003,Fair,Low (10-30%),Target (<36%),No Debt,501-1000,617,0.00015023613,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,319,3,1.0,0,181.0,0.458839942645343,48508,1,0,0.0,0,,624.0,0.0037313432835820895,Fair,Moderate (30-60%),Target (<36%),No Debt,<500,624,0.0007450826,0
0,23,0,0,0,0,0,1,0,0,0,1,1,0,226,0,1.0,0,197.0,0.3074044066044117,35921,0,0,0.0,1,,622.0,0.0054842571197906516,Fair,Moderate (30-60%),Target (<36%),No Debt,<500,622,0.94929045,1
1,23,0,0,0,0,0,1,0,0,1,0,0,0,2374,3,1.0,0,877.0,0.314372366678301,32939,0,1,8823.0,0,,,0.02662497343574486,,Moderate (30-60%),Target (<36%),Moderate (5K-10K),2001-2500,999,6.9131e-05,0
1,24,0,0,0,0,0,1,0,0,0,0,1,0,2806,2,2.0,0,585.0,0.2036427603888852,39800,0,0,0.0,0,,,0.014698492462311558,,Low (10-30%),Target (<36%),No Debt,>2500,999,0.00010301004,0
1,23,0,0,1,0,0,0,0,1,0,1,0,0,2317,0,2.0,0,612.0,0.3907238760363241,43188,0,1,7906.0,1,,,0.014170602945262572,,Moderate (30-60%),Target (<36%),Moderate (5K-10K),2001-2500,999,0.9882256,1
1,20,0,0,1,0,0,1,0,0,0,1,0,0,1610,2,0.0,0,732.0,0.1050330711309381,50220,0,1,1851.5,1,,,0.014575866188769415,,Low (10-30%),Target (<36%),Low (1K-5K),1501-2000,999,0.9961972,1
0,21,0,0,0,0,0,0,0,0,0,0,0,1,239,0,0.0,0,436.0,0.1307115210646726,23433,0,0,0.0,0,,675.0,0.018606239064567064,Good,Low (10-30%),Target (<36%),No Debt,<500,675,0.00062588335,0
1,24,0,0,0,0,0,0,1,0,0,0,0,1,173,0,2.0,0,190.0,0.4062124497456332,24370,0,0,0.0,0,,,0.007796471070988921,,Moderate (30-60%),Target (<36%),No Debt,<500,999,0.003372818,0
1,21,0,0,0,0,0,1,0,0,0,0,0,0,191,3,1.0,0,436.8,0.4853641859367968,40010,0,0,0.0,0,,,0.010917270682329418,,Moderate (30-60%),Target (<36%),No Debt,<500,999,0.0018077528,0
0,25,0,0,1,0,0,1,1,1,0,1,1,0,1448,0,2.0,1,447.0,0.2815323102404737,49655,0,0,0.0,1,,618.0,0.009002114590675661,Fair,Low (10-30%),Target (<36%),No Debt,1001-1500,618,0.99836236,1
1,20,0,0,0,0,0,0,1,0,1,0,0,0,2535,3,1.0,1,1556.8000000000002,0.072404982764878,34789,0,1,15486.8,0,,,0.04474977722843428,,Very Low (<10%),Target (<36%),Very High (>15K),>2500,999,0.00013649215,0
0,22,0,0,1,0,0,1,0,1,0,1,0,0,2311,0,1.0,0,779.0,0.3951815518025798,37835,0,0,0.0,0,,657.0,0.02058940134795824,Fair,Moderate (30-60%),Target (<36%),No Debt,2001-2500,657,0.016624836,0
1,20,0,0,0,0,0,0,0,0,0,0,1,0,1880,0,0.0,0,253.6,0.1584780387946461,40760,0,0,0.0,0,,,0.006221786064769382,,Low (10-30%),Target (<36%),No Debt,1501-2000,999,0.00025538405,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,1157,0,0.0,0,754.0,0.3421463363852695,54636,0,0,0.0,0,,554.0,0.013800424628450107,Poor,Moderate (30-60%),Target (<36%),No Debt,1001-1500,554,0.0008504534,0
0,18,0,0,0,0,0,1,0,0,1,0,0,0,1154,0,1.0,0,187.2,0.7320597772549107,49705,1,1,7939.4,0,,642.0,0.003766220702142641,Fair,High (60-100%),Target (<36%),Moderate (5K-10K),1001-1500,642,0.0005167934,0
0,19,0,0,1,0,0,0,0,1,0,0,0,0,1552,2,1.0,0,704.0,0.4236732939575424,18929,1,1,12491.5,1,,560.0,0.03719161075598288,Poor,Moderate (30-60%),Target (<36%),High (10K-15K),1501-2000,560,0.9896909,1
0,21,0,0,0,0,0,0,1,0,0,0,0,0,1891,1,2.0,0,195.2,0.3509655006294229,36556,0,0,0.0,0,,658.0,0.005339752708173761,Fair,Moderate (30-60%),Target (<36%),No Debt,1501-2000,658,6.393258e-05,0
0,18,0,0,0,0,0,1,0,0,0,0,0,0,2771,0,1.0,0,273.6,0.0,22857,0,0,0.0,0,,669.0,0.011970074812967583,Fair,Very Low (<10%),Target (<36%),No Debt,>2500,669,0.0001128289,0
1,19,0,0,1,0,0,0,1,1,0,0,1,0,414,2,2.0,0,92.0,0.0658190020942063,39826,0,1,14075.6,1,,,0.002310048711896751,,Very Low (<10%),Target (<36%),High (10K-15K),<500,999,0.9901928,1
0,18,0,0,0,0,0,0,0,0,0,0,0,1,2065,1,0.0,1,956.8,0.3203103719912851,23776,0,1,6876.099999999999,0,,673.0,0.040242261103633915,Good,Moderate (30-60%),Target (<36%),Moderate (5K-10K),2001-2500,673,8.731087e-05,0
1,19,0,0,1,0,0,0,1,1,0,1,0,0,2418,0,0.0,0,624.0,0.0,41864,1,0,0.0,0,,,0.014905407987769922,,Very Low (<10%),Target (<36%),No Debt,2001-2500,999,0.010787513,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,2.0,1,1539.0,0.0478490991739807,33649,0,1,15386.0,0,,607.0,0.045736871823828344,Fair,Very Low (<10%),Target (<36%),Very High (>15K),2001-2500,607,3.3939945e-05,0
0,19,0,0,0,0,0,0,0,0,0,0,0,1,1905,0,2.0,1,1353.6,0.3811632634990448,23571,1,1,8666.0,0,,659.0,0.05742649866361206,Fair,Moderate (30-60%),Target (<36%),Moderate (5K-10K),1501-2000,659,0.00030567692,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,1174,0,2.0,1,384.0,0.6534042224237315,19316,0,0,0.0,0,,,0.019879892317249948,,High (60-100%),Target (<36%),No Debt,1001-1500,999,0.00049453863,0
0,21,0,0,0,0,0,0,0,0,0,0,1,1,698,0,1.0,0,760.8000000000001,0.456896218480229,36156,0,0,0.0,0,,569.0,0.021042150680385,Poor,Moderate (30-60%),Target (<36%),No Debt,501-1000,569,0.00016453462,0
0,24,0,0,1,0,0,0,0,1,0,0,0,0,1723,0,2.0,1,607.0,0.4025114679056134,54609,0,0,0.0,0,,613.0,0.011115383911076929,Fair,Moderate (30-60%),Target (<36%),No Debt,1501-2000,613,0.7344844,1
0,21,0,0,1,0,0,0,0,1,0,0,0,0,2562,3,2.0,1,1404.0,0.3711150224740276,48116,0,0,0.0,0,,518.0,0.029179482916285644,Poor,Moderate (30-60%),Target (<36%),No Debt,>2500,518,0.011585589,0
1,24,0,0,0,0,0,1,0,1,1,0,1,0,2826,3,1.0,0,643.0,0.3036210849661642,20204,0,0,0.0,0,,,0.03182538111265096,,Moderate (30-60%),Target (<36%),No Debt,>2500,999,0.030347949,0
0,25,0,0,0,0,0,0,0,1,1,1,1,1,1741,3,1.0,0,579.0,0.1,49030,0,0,0.0,0,,653.0,0.011809096471548031,Fair,Low (10-30%),Target (<36%),No Debt,1501-2000,653,0.88642925,1
1,20,0,0,0,0,0,0,0,0,0,0,0,0,59,3,1.0,0,196.8,0.0080593953346263,51396,0,0,0.0,0,,,0.003829091758113472,,Very Low (<10%),Target (<36%),No Debt,<500,999,0.0005383629,0
0,23,0,0,1,0,0,0,0,1,0,1,0,0,1114,0,0.0,0,400.0,0.3294558699083665,44536,1,1,4871.0,1,,641.0,0.008981498113885397,Fair,Moderate (30-60%),Target (<36%),Low (1K-5K),1001-1500,641,0.9979202,1
1,18,0,0,0,0,0,1,1,0,0,0,1,0,270,3,0.0,0,88.80000000000001,0.1840783229227129,46152,0,0,0.0,0,,,0.0019240769630785234,,Low (10-30%),Target (<36%),No Debt,<500,999,0.0011138237,0
1,21,0,0,0,0,0,0,0,0,1,0,0,0,2725,2,0.0,0,202.4,0.5504611758352543,50252,0,1,2366.0,0,,,0.0040277003900342275,,Moderate (30-60%),Target (<36%),Low (1K-5K),>2500,999,0.00018590358,0
1,19,0,0,0,0,0,1,0,0,0,0,0,0,1982,2,1.0,0,560.8000000000001,0.1472791572496014,34589,0,0,0.0,0,,,0.016213246986036024,,Low (10-30%),Target (<36%),No Debt,1501-2000,999,0.00085121795,0
1,25,0,0,0,0,0,1,0,0,1,0,0,0,1026,2,1.0,0,784.0,0.0,50920,0,0,0.0,0,,,0.015396700706991359,,Very Low (<10%),Target (<36%),No Debt,1001-1500,999,0.0030789583,0
0,19,0,0,1,0,0,0,0,1,0,0,0,0,1874,1,1.0,0,719.2,0.2597056765550404,22997,0,1,8804.599999999999,1,,622.0,0.03127364438839849,Fair,Low (10-30%),Target (<36%),Moderate (5K-10K),1501-2000,622,0.9958144,1
1,23,0,0,0,0,0,0,1,0,1,0,0,0,99,3,0.0,0,196.0,0.2796538817435893,21765,0,0,0.0,0,,,0.009005283712382265,,Low (10-30%),Target (<36%),No Debt,<500,999,0.00028727145,0
0,23,0,0,0,0,0,0,1,0,0,0,1,0,1391,0,0.0,0,467.0,0.0,46230,0,0,0.0,0,,668.0,0.01010166558511789,Fair,Very Low (<10%),Target (<36%),No Debt,1001-1500,668,3.8339407e-05,0
1,19,0,0,0,0,0,0,0,0,1,0,0,0,645,2,2.0,0,246.4,0.3960513798084866,47231,0,1,16493.399999999998,0,,,0.005216912620948106,,Moderate (30-60%),Target (<36%),Very High (>15K),501-1000,999,1.6212285e-05,0
0,21,0,0,0,0,0,0,1,0,0,0,0,0,1522,0,0.0,0,652.8000000000001,0.3762383446687738,29683,1,1,7256.9,0,,560.0,0.021992386214331437,Poor,Moderate (30-60%),Target (<36%),Moderate (5K-10K),1501-2000,560,0.00031537705,0
0,23,0,0,0,0,0,1,0,0,0,0,0,0,92,0,0.0,0,211.0,0.3556847831583125,19134,0,0,0.0,0,,543.0,0.01102749033134734,Poor,Moderate (30-60%),Target (<36%),No Debt,<500,543,0.002613054,0
1,22,0,0,0,0,0,0,0,0,0,0,1,1,1623,2,2.0,0,318.0,0.0,52761,0,0,0.0,0,,,0.006027179166429749,,Very Low (<10%),Target (<36%),No Debt,1501-2000,999,0.00024227188,0
0,24,0,0,0,0,0,1,0,0,1,0,1,0,494,1,2.0,0,741.0,0.0,23668,0,0,0.0,0,,561.0,0.0313080953185736,Poor,Very Low (<10%),Target (<36%),No Debt,<500,561,0.000105277366,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,170,0,1.0,0,739.2,0.392266941289308,53436,1,0,0.0,0,,,0.013833370761284528,,Moderate (30-60%),Target (<36%),No Debt,<500,999,0.00071668846,0
1,19,0,0,0,0,0,0,0,0,0,0,1,1,1621,1,1.0,0,250.4,0.2086360664964651,36978,0,1,1460.1999999999998,0,,,0.006771593920709611,,Low (10-30%),Target (<36%),Low (1K-5K),1501-2000,999,0.0004436669,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,646,1,0.0,0,13.6,0.3173700724866061,22733,0,1,16179.1,0,,513.0,0.0005982492411912198,Poor,Moderate (30-60%),Target (<36%),Very High (>15K),501-1000,513,7.9309466e-05,0
1,19,0,0,0,0,0,0,0,0,0,0,1,0,1582,0,2.0,1,54.400000000000006,0.0975557809029437,26640,0,0,0.0,0,,,0.002042042042042042,,Very Low (<10%),Target (<36%),No Debt,1501-2000,999,0.00034468967,0
0,19,0,0,0,0,0,0,1,0,1,0,0,0,1080,1,0.0,1,193.6,0.2417739584025797,54468,0,1,7951.299999999999,0,,626.0,0.003554380553719615,Fair,Low (10-30%),Target (<36%),Moderate (5K-10K),1001-1500,626,0.00079895,0
0,23,0,0,0,0,0,0,0,0,0,0,1,0,948,2,0.0,0,56.0,0.300373605274244,28531,0,1,13312.0,0,,680.0,0.0019627773299218396,Good,Moderate (30-60%),Target (<36%),High (10K-15K),501-1000,680,0.00042328594,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,1957,2,1.0,0,76.0,0.2123882520596774,32683,0,0,0.0,0,,582.0,0.0023253679282807574,Fair,Low (10-30%),Target (<36%),No Debt,1501-2000,582,0.0003030384,0
1,23,0,0,0,0,0,0,1,0,0,0,0,0,632,3,0.0,0,901.0,0.3140804732605047,28966,0,0,0.0,0,,,0.0311054339570531,,Moderate (30-60%),Target (<36%),No Debt,501-1000,999,0.00024299618,0
0,24,0,0,0,0,0,0,0,0,0,0,0,0,2813,1,2.0,0,592.0,0.0627474889190301,51625,0,1,15680.0,0,,545.0,0.01146731234866828,Poor,Very Low (<10%),Target (<36%),Very High (>15K),>2500,545,6.503263e-05,0
1,25,0,0,0,0,0,1,0,1,1,0,0,0,557,3,0.0,0,165.0,0.0642877756366279,48926,0,0,0.0,1,,,0.003372440011445857,,Very Low (<10%),Target (<36%),No Debt,501-1000,999,0.9948256,1
0,23,0,0,0,0,0,0,0,0,0,0,0,1,700,1,1.0,0,708.0,0.1577667243112545,40164,1,1,7232.0,0,,665.0,0.017627726322079474,Fair,Low (10-30%),Target (<36%),Moderate (5K-10K),501-1000,665,8.776691e-05,0
0,24,0,0,0,0,0,0,0,1,0,0,1,0,1050,1,1.0,0,832.0,0.4715574123678523,36062,0,0,0.0,0,,540.0,0.023071377072819033,Poor,Moderate (30-60%),Target (<36%),No Debt,1001-1500,540,0.04427042,0
0,21,0,0,1,0,0,1,0,1,1,1,0,0,1167,0,0.0,0,755.2,0.3195381972060808,42519,0,1,11896.5,1,,582.0,0.017761471342223476,Fair,Moderate (30-60%),Target (<36%),High (10K-15K),1001-1500,582,0.99916863,1
0,18,0,0,1,0,0,1,0,1,1,1,0,0,2185,3,2.0,0,142.4,0.3019577075453471,51998,1,0,0.0,1,,547.0,0.00273856686795646,Poor,Moderate (30-60%),Target (<36%),No Debt,2001-2500,547,0.9966904,1
1,23,0,0,0,0,0,0,0,0,0,0,0,0,2825,1,2.0,0,898.0,0.1759498305950516,43479,0,0,0.0,0,,,0.020653648887968903,,Low (10-30%),Target (<36%),No Debt,>2500,999,3.9919458e-05,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,985,0,2.0,0,974.0,0.470293575743271,53871,1,0,0.0,0,,667.0,0.018080228694473836,Fair,Moderate (30-60%),Target (<36%),No Debt,501-1000,667,0.0013082032,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,2585,0,0.0,1,1302.0,0.5612406582525161,32523,0,0,0.0,0,,645.0,0.04003320726870215,Fair,Moderate (30-60%),Target (<36%),No Debt,>2500,645,0.00071077875,0
0,22,0,0,0,0,0,0,0,0,0,0,1,0,2519,3,3.0,0,184.0,0.1252628444803301,45529,0,0,0.0,0,,543.0,0.004041380219200949,Poor,Low (10-30%),Target (<36%),No Debt,>2500,543,0.00053569116,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,325,3,1.0,0,744.8000000000001,0.0,34279,0,1,15811.6,0,,,0.021727588319379213,,Very Low (<10%),Target (<36%),Very High (>15K),<500,999,0.000696921,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,1856,3,1.0,1,1066.0,0.0,33549,0,1,21497.0,0,,669.0,0.03177441950579749,Fair,Very Low (<10%),Target (<36%),Very High (>15K),1501-2000,669,6.3330815e-05,0
0,25,0,0,0,0,0,0,0,1,0,0,0,1,871,3,0.0,0,370.0,0.3149544866989973,41666,0,0,0.0,1,,600.0,0.008880142082273317,Fair,Moderate (30-60%),Target (<36%),No Debt,501-1000,600,0.99325436,1
0,19,0,0,0,0,0,0,0,1,0,1,0,0,1026,0,2.0,0,65.60000000000001,0.0541024923347703,42423,0,1,2772.7,0,,611.0,0.0015463309996935626,Fair,Very Low (<10%),Target (<36%),Low (1K-5K),1001-1500,611,0.016333055,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,2899,2,1.0,0,503.2000000000001,0.4670790129784269,50703,0,0,0.0,0,,679.0,0.009924462063388756,Good,Moderate (30-60%),Target (<36%),No Debt,>2500,679,7.939255e-05,0
1,21,0,0,0,0,0,1,0,1,1,1,1,0,2280,3,0.0,0,461.6,0.1547840125484772,47523,1,0,0.0,1,,,0.009713191507270165,,Low (10-30%),Target (<36%),No Debt,2001-2500,999,0.99776304,1
1,21,0,0,0,0,0,0,0,0,0,0,1,0,1376,2,2.0,1,630.4000000000001,0.5936953574128289,28377,0,0,0.0,0,,,0.022215174260845055,,Moderate (30-60%),Target (<36%),No Debt,1001-1500,999,9.702331e-05,0
1,21,0,0,0,0,0,0,1,0,0,0,0,0,2127,2,2.0,0,712.0,0.320667579603877,21961,1,0,0.0,0,,,0.03242111014981103,,Moderate (30-60%),Target (<36%),No Debt,2001-2500,999,3.23783e-05,0
